ProductKey,OrderDateKey,CustomerKey,UnitPrice,SalesAmount,EnglishPromotionType
346,20200123,11026,3399.99,3399.99,No Discount
312,20200124,27662,3578.27,3578.27,No Discount
350,20200124,28390,3374.99,3374.99,No Discount
350,20200124,25866,3374.99,3374.99,No Discount
311,20200124,16494,3578.27,3578.27,No Discount
314,20200124,16496,3578.27,3578.27,No Discount
310,20200124,16519,3578.27,3578.27,No Discount
312,20200124,16528,3578.27,3578.27,No Discount
346,20200124,11006,3399.99,3399.99,No Discount
312,20200125,27651,3578.27,3578.27,No Discount
310,20200125,27663,3578.27,3578.27,No Discount
313,20200125,27669,3578.27,3578.27,No Discount
342,20200125,19942,699.0982,699.0982,No Discount
338,20200125,14558,699.0982,699.0982,No Discount
313,20200125,16349,3578.27,3578.27,No Discount
348,20200125,11008,3374.99,3374.99,No Discount
338,20200125,25250,699.0982,699.0982,No Discount
310,20200126,27605,3578.27,3578.27,No Discount
310,20200126,27611,3578.27,3578.27,No Discount
311,20200126,16347,3578.27,3578.27,No Discount
349,20200126,11028,3374.99,3374.99,No Discount
310,20200126,13584,3578.27,3578.27,No Discount
310,20200127,21727,3578.27,3578.27,No Discount
348,20200127,28393,3374.99,3374.99,No Discount
348,20200127,19802,3374.99,3374.99,No Discount
324,20200127,26620,699.0982,699.0982,No Discount
350,20200127,11009,3374.99,3374.99,No Discount
313,20200128,27641,3578.27,3578.27,No Discount
311,20200128,27673,3578.27,3578.27,No Discount
326,20200128,17957,699.0982,699.0982,No Discount
314,20200128,13406,3578.27,3578.27,No Discount
312,20200128,16630,3578.27,3578.27,No Discount
313,20200129,22041,3578.27,3578.27,No Discount
314,20200129,12124,3578.27,3578.27,No Discount
313,20200129,28066,3578.27,3578.27,No Discount
313,20200129,16743,3578.27,3578.27,No Discount
310,20200129,13546,3578.27,3578.27,No Discount
312,20200130,28018,3578.27,3578.27,No Discount
310,20200130,12132,3578.27,3578.27,No Discount
314,20200130,16661,3578.27,3578.27,No Discount
351,20200131,11055,3374.99,3374.99,No Discount
314,20200131,16662,3578.27,3578.27,No Discount
313,20200131,16740,3578.27,3578.27,No Discount
322,20200131,25270,699.0982,699.0982,No Discount
312,20200201,28038,3578.27,3578.27,No Discount
313,20200201,13548,3578.27,3578.27,No Discount
314,20200201,16741,3578.27,3578.27,No Discount
347,20200201,11031,3399.99,3399.99,No Discount
346,20200201,11034,3399.99,3399.99,No Discount
334,20200202,20048,699.0982,699.0982,No Discount
311,20200202,28065,3578.27,3578.27,No Discount
312,20200202,17047,3578.27,3578.27,No Discount
310,20200202,16686,3578.27,3578.27,No Discount
312,20200202,16659,3578.27,3578.27,No Discount
336,20200202,25294,699.0982,699.0982,No Discount
314,20200203,13600,3578.27,3578.27,No Discount
310,20200203,17051,3578.27,3578.27,No Discount
338,20200203,14565,699.0982,699.0982,No Discount
344,20200203,11054,3399.99,3399.99,No Discount
310,20200203,16675,3578.27,3578.27,No Discount
313,20200203,16687,3578.27,3578.27,No Discount
310,20200203,16712,3578.27,3578.27,No Discount
345,20200203,11047,3399.99,3399.99,No Discount
310,20200204,27726,3578.27,3578.27,No Discount
311,20200204,28014,3578.27,3578.27,No Discount
311,20200204,16696,3578.27,3578.27,No Discount
312,20200204,16639,3578.27,3578.27,No Discount
342,20200205,20049,699.0982,699.0982,No Discount
311,20200205,13602,3578.27,3578.27,No Discount
314,20200205,13661,3578.27,3578.27,No Discount
344,20200205,11030,3399.99,3399.99,No Discount
313,20200206,28068,3578.27,3578.27,No Discount
312,20200206,16658,3578.27,3578.27,No Discount
348,20200206,11035,3374.99,3374.99,No Discount
349,20200206,11046,3374.99,3374.99,No Discount
311,20200207,28031,3578.27,3578.27,No Discount
312,20200207,28076,3578.27,3578.27,No Discount
314,20200207,16685,3578.27,3578.27,No Discount
312,20200207,16745,3578.27,3578.27,No Discount
351,20200207,11038,3374.99,3374.99,No Discount
347,20200207,11039,3399.99,3399.99,No Discount
313,20200208,28040,3578.27,3578.27,No Discount
313,20200208,28067,3578.27,3578.27,No Discount
310,20200208,28071,3578.27,3578.27,No Discount
311,20200208,16684,3578.27,3578.27,No Discount
314,20200208,16657,3578.27,3578.27,No Discount
314,20200209,21939,3578.27,3578.27,No Discount
312,20200209,28039,3578.27,3578.27,No Discount
312,20200209,13687,3578.27,3578.27,No Discount
312,20200209,13540,3578.27,3578.27,No Discount
310,20200209,28063,3578.27,3578.27,No Discount
312,20200209,16703,3578.27,3578.27,No Discount
310,20200210,28030,3578.27,3578.27,No Discount
322,20200210,14576,699.0982,699.0982,No Discount
351,20200210,11048,3374.99,3374.99,No Discount
314,20200210,16664,3578.27,3578.27,No Discount
342,20200210,25271,699.0982,699.0982,No Discount
314,20200211,28017,3578.27,3578.27,No Discount
311,20200211,13545,3578.27,3578.27,No Discount
313,20200211,13515,3578.27,3578.27,No Discount
310,20200211,28070,3578.27,3578.27,No Discount
310,20200212,28042,3578.27,3578.27,No Discount
344,20200212,11244,3399.99,3399.99,No Discount
312,20200212,28083,3578.27,3578.27,No Discount
344,20200212,25872,3399.99,3399.99,No Discount
310,20200212,16660,3578.27,3578.27,No Discount
311,20200212,16638,3578.27,3578.27,No Discount
314,20200214,16929,3578.27,3578.27,No Discount
314,20200215,27681,3578.27,3578.27,No Discount
312,20200215,21813,3578.27,3578.27,No Discount
310,20200215,27920,3578.27,3578.27,No Discount
310,20200215,28022,3578.27,3578.27,No Discount
348,20200215,11033,3374.99,3374.99,No Discount
311,20200215,28047,3578.27,3578.27,No Discount
311,20200216,27918,3578.27,3578.27,No Discount
313,20200216,28044,3578.27,3578.27,No Discount
336,20200216,14572,699.0982,699.0982,No Discount
342,20200216,19325,699.0982,699.0982,No Discount
310,20200216,28061,3578.27,3578.27,No Discount
334,20200216,26629,699.0982,699.0982,No Discount
310,20200216,16744,3578.27,3578.27,No Discount
320,20200216,25555,699.0982,699.0982,No Discount
312,20200217,27678,3578.27,3578.27,No Discount
314,20200217,27759,3578.27,3578.27,No Discount
310,20200217,13680,3578.27,3578.27,No Discount
310,20200217,13514,3578.27,3578.27,No Discount
349,20200217,11052,3374.99,3374.99,No Discount
312,20200217,16928,3578.27,3578.27,No Discount
313,20200218,27917,3578.27,3578.27,No Discount
311,20200218,13693,3578.27,3578.27,No Discount
350,20200218,11247,3374.99,3374.99,No Discount
310,20200218,28078,3578.27,3578.27,No Discount
350,20200218,25876,3374.99,3374.99,No Discount
310,20200218,16701,3578.27,3578.27,No Discount
311,20200218,16931,3578.27,3578.27,No Discount
348,20200218,11032,3374.99,3374.99,No Discount
313,20200219,22008,3578.27,3578.27,No Discount
349,20200219,19830,3374.99,3374.99,No Discount
314,20200219,16663,3578.27,3578.27,No Discount
314,20200219,16708,3578.27,3578.27,No Discount
310,20200219,17045,3578.27,3578.27,No Discount
310,20200220,21921,3578.27,3578.27,No Discount
312,20200220,17048,3578.27,3578.27,No Discount
350,20200220,11050,3374.99,3374.99,No Discount
311,20200221,12131,3578.27,3578.27,No Discount
313,20200221,13689,3578.27,3578.27,No Discount
344,20200221,11243,3399.99,3399.99,No Discount
314,20200221,16693,3578.27,3578.27,No Discount
313,20200221,16702,3578.27,3578.27,No Discount
312,20200221,16707,3578.27,3578.27,No Discount
310,20200221,17046,3578.27,3578.27,No Discount
328,20200221,25272,699.0982,699.0982,No Discount
344,20200221,25868,3399.99,3399.99,No Discount
342,20200222,17971,699.0982,699.0982,No Discount
351,20200222,11057,3374.99,3374.99,No Discount
313,20200222,16742,3578.27,3578.27,No Discount
313,20200223,13678,3578.27,3578.27,No Discount
311,20200223,13679,3578.27,3578.27,No Discount
314,20200223,13690,3578.27,3578.27,No Discount
344,20200223,28394,3399.99,3399.99,No Discount
313,20200223,28064,3578.27,3578.27,No Discount
344,20200223,25878,3399.99,3399.99,No Discount
314,20200223,16713,3578.27,3578.27,No Discount
314,20200224,13538,3578.27,3578.27,No Discount
310,20200224,17050,3578.27,3578.27,No Discount
310,20200225,13691,3578.27,3578.27,No Discount
314,20200225,16637,3578.27,3578.27,No Discount
338,20200226,19329,699.0982,699.0982,No Discount
314,20200226,13542,3578.27,3578.27,No Discount
310,20200226,13543,3578.27,3578.27,No Discount
314,20200226,13559,3578.27,3578.27,No Discount
338,20200226,14577,699.0982,699.0982,No Discount
350,20200226,11056,3374.99,3374.99,No Discount
313,20200226,16688,3578.27,3578.27,No Discount
342,20200226,25273,699.0982,699.0982,No Discount
310,20200227,27919,3578.27,3578.27,No Discount
310,20200227,28041,3578.27,3578.27,No Discount
344,20200227,11240,3399.99,3399.99,No Discount
310,20200227,22050,3578.27,3578.27,No Discount
310,20200227,28062,3578.27,3578.27,No Discount
344,20200227,25867,3399.99,3399.99,No Discount
310,20200227,17049,3578.27,3578.27,No Discount
313,20200228,13541,3578.27,3578.27,No Discount
349,20200228,28395,3374.99,3374.99,No Discount
349,20200228,19829,3374.99,3374.99,No Discount
313,20200228,16691,3578.27,3578.27,No Discount
311,20200228,16656,3578.27,3578.27,No Discount
351,20200228,11044,3374.99,3374.99,No Discount
310,20200301,13821,3578.27,3578.27,No Discount
310,20200301,28156,3578.27,3578.27,No Discount
311,20200301,22114,3578.27,3578.27,No Discount
314,20200301,17328,3578.27,3578.27,No Discount
310,20200302,13765,3578.27,3578.27,No Discount
311,20200302,13792,3578.27,3578.27,No Discount
311,20200302,12221,3578.27,3578.27,No Discount
313,20200302,13572,3578.27,3578.27,No Discount
313,20200302,22058,3578.27,3578.27,No Discount
313,20200302,28145,3578.27,3578.27,No Discount
312,20200302,17071,3578.27,3578.27,No Discount
310,20200302,17309,3578.27,3578.27,No Discount
313,20200302,17310,3578.27,3578.27,No Discount
310,20200302,17320,3578.27,3578.27,No Discount
310,20200303,28172,3578.27,3578.27,No Discount
312,20200303,17242,3578.27,3578.27,No Discount
312,20200303,17315,3578.27,3578.27,No Discount
328,20200303,25558,699.0982,699.0982,No Discount
346,20200304,11334,3399.99,3399.99,No Discount
312,20200304,28168,3578.27,3578.27,No Discount
311,20200304,28181,3578.27,3578.27,No Discount
313,20200304,28131,3578.27,3578.27,No Discount
346,20200304,25887,3399.99,3399.99,No Discount
314,20200304,17055,3578.27,3578.27,No Discount
311,20200305,13567,3578.27,3578.27,No Discount
311,20200305,28182,3578.27,3578.27,No Discount
312,20200305,28186,3578.27,3578.27,No Discount
314,20200306,13772,3578.27,3578.27,No Discount
311,20200306,28185,3578.27,3578.27,No Discount
314,20200306,28193,3578.27,3578.27,No Discount
310,20200306,28088,3578.27,3578.27,No Discount
313,20200306,17065,3578.27,3578.27,No Discount
338,20200306,14581,699.0982,699.0982,No Discount
314,20200306,17308,3578.27,3578.27,No Discount
313,20200307,12211,3578.27,3578.27,No Discount
311,20200307,28179,3578.27,3578.27,No Discount
314,20200307,28183,3578.27,3578.27,No Discount
313,20200307,28112,3578.27,3578.27,No Discount
338,20200307,14584,699.0982,699.0982,No Discount
312,20200308,13784,3578.27,3578.27,No Discount
311,20200308,17229,3578.27,3578.27,No Discount
313,20200308,17246,3578.27,3578.27,No Discount
314,20200309,12220,3578.27,3578.27,No Discount
350,20200309,11337,3374.99,3374.99,No Discount
312,20200309,28097,3578.27,3578.27,No Discount
350,20200309,25888,3374.99,3374.99,No Discount
347,20200309,11058,3399.99,3399.99,No Discount
312,20200309,17294,3578.27,3578.27,No Discount
310,20200309,17299,3578.27,3578.27,No Discount
310,20200310,28158,3578.27,3578.27,No Discount
314,20200310,17247,3578.27,3578.27,No Discount
310,20200310,17280,3578.27,3578.27,No Discount
347,20200312,25889,3399.99,3399.99,No Discount
313,20200312,17069,3578.27,3578.27,No Discount
334,20200313,20052,699.0982,699.0982,No Discount
322,20200313,20054,699.0982,699.0982,No Discount
348,20200313,11061,3374.99,3374.99,No Discount
310,20200313,17248,3578.27,3578.27,No Discount
312,20200314,13570,3578.27,3578.27,No Discount
312,20200314,28164,3578.27,3578.27,No Discount
310,20200314,17064,3578.27,3578.27,No Discount
313,20200314,17249,3578.27,3578.27,No Discount
314,20200314,17295,3578.27,3578.27,No Discount
312,20200315,28096,3578.27,3578.27,No Discount
310,20200315,28150,3578.27,3578.27,No Discount
313,20200315,17259,3578.27,3578.27,No Discount
311,20200315,17312,3578.27,3578.27,No Discount
313,20200316,12254,3578.27,3578.27,No Discount
311,20200316,28159,3578.27,3578.27,No Discount
312,20200316,28149,3578.27,3578.27,No Discount
336,20200316,14580,699.0982,699.0982,No Discount
312,20200316,17285,3578.27,3578.27,No Discount
347,20200317,11250,3399.99,3399.99,No Discount
313,20200317,28162,3578.27,3578.27,No Discount
347,20200317,25879,3399.99,3399.99,No Discount
311,20200317,17257,3578.27,3578.27,No Discount
310,20200318,13783,3578.27,3578.27,No Discount
313,20200318,28154,3578.27,3578.27,No Discount
312,20200318,28170,3578.27,3578.27,No Discount
310,20200318,17351,3578.27,3578.27,No Discount
311,20200318,17332,3578.27,3578.27,No Discount
312,20200319,28180,3578.27,3578.27,No Discount
314,20200319,13560,3578.27,3578.27,No Discount
310,20200319,28148,3578.27,3578.27,No Discount
311,20200319,22109,3578.27,3578.27,No Discount
338,20200319,14590,699.0982,699.0982,No Discount
345,20200319,11060,3399.99,3399.99,No Discount
314,20200319,17255,3578.27,3578.27,No Discount
311,20200319,17258,3578.27,3578.27,No Discount
310,20200320,13847,3578.27,3578.27,No Discount
314,20200320,28166,3578.27,3578.27,No Discount
322,20200321,20060,699.0982,699.0982,No Discount
313,20200321,12255,3578.27,3578.27,No Discount
349,20200321,28401,3374.99,3374.99,No Discount
344,20200321,11333,3399.99,3399.99,No Discount
344,20200321,25886,3399.99,3399.99,No Discount
312,20200321,17241,3578.27,3578.27,No Discount
334,20200321,17973,699.0982,699.0982,No Discount
312,20200321,17334,3578.27,3578.27,No Discount
310,20200322,13841,3578.27,3578.27,No Discount
312,20200322,28184,3578.27,3578.27,No Discount
313,20200322,22117,3578.27,3578.27,No Discount
312,20200322,28191,3578.27,3578.27,No Discount
310,20200322,17056,3578.27,3578.27,No Discount
311,20200322,17079,3578.27,3578.27,No Discount
311,20200323,12217,3578.27,3578.27,No Discount
311,20200323,13580,3578.27,3578.27,No Discount
313,20200323,28155,3578.27,3578.27,No Discount
313,20200323,28163,3578.27,3578.27,No Discount
312,20200323,17278,3578.27,3578.27,No Discount
312,20200323,17329,3578.27,3578.27,No Discount
330,20200323,25556,699.0982,699.0982,No Discount
312,20200324,12219,3578.27,3578.27,No Discount
310,20200324,17233,3578.27,3578.27,No Discount
313,20200324,17240,3578.27,3578.27,No Discount
313,20200325,13845,3578.27,3578.27,No Discount
312,20200325,28167,3578.27,3578.27,No Discount
311,20200325,28190,3578.27,3578.27,No Discount
312,20200326,13777,3578.27,3578.27,No Discount
310,20200326,28099,3578.27,3578.27,No Discount
314,20200326,28142,3578.27,3578.27,No Discount
340,20200326,14585,699.0982,699.0982,No Discount
312,20200326,17232,3578.27,3578.27,No Discount
313,20200327,12212,3578.27,3578.27,No Discount
310,20200327,13579,3578.27,3578.27,No Discount
312,20200327,28171,3578.27,3578.27,No Discount
312,20200327,28194,3578.27,3578.27,No Discount
312,20200327,22112,3578.27,3578.27,No Discount
322,20200327,20149,699.0982,699.0982,No Discount
310,20200327,17279,3578.27,3578.27,No Discount
313,20200327,17286,3578.27,3578.27,No Discount
320,20200327,25557,699.0982,699.0982,No Discount
336,20200327,25559,699.0982,699.0982,No Discount
336,20200328,19339,699.0982,699.0982,No Discount
312,20200328,13820,3578.27,3578.27,No Discount
326,20200329,14589,699.0982,699.0982,No Discount
314,20200330,13794,3578.27,3578.27,No Discount
314,20200330,13846,3578.27,3578.27,No Discount
311,20200330,12256,3578.27,3578.27,No Discount
311,20200330,28147,3578.27,3578.27,No Discount
314,20200330,28152,3578.27,3578.27,No Discount
311,20200330,17256,3578.27,3578.27,No Discount
313,20200330,17277,3578.27,3578.27,No Discount
311,20200330,17288,3578.27,3578.27,No Discount
310,20200330,17293,3578.27,3578.27,No Discount
313,20200330,17326,3578.27,3578.27,No Discount
314,20200331,14429,3578.27,3578.27,No Discount
311,20200331,28222,3578.27,3578.27,No Discount
328,20200331,17975,699.0982,699.0982,No Discount
344,20200331,11072,3399.99,3399.99,No Discount
311,20200401,12267,3578.27,3578.27,No Discount
351,20200401,11095,3374.99,3374.99,No Discount
312,20200401,17728,3578.27,3578.27,No Discount
314,20200402,28598,3578.27,3578.27,No Discount
310,20200402,17921,3578.27,3578.27,No Discount
311,20200402,17904,3578.27,3578.27,No Discount
312,20200402,28199,3578.27,3578.27,No Discount
311,20200403,28257,3578.27,3578.27,No Discount
310,20200403,17510,3578.27,3578.27,No Discount
345,20200404,11343,3399.99,3399.99,No Discount
311,20200404,28273,3578.27,3578.27,No Discount
324,20200404,20165,699.0982,699.0982,No Discount
345,20200404,25895,3399.99,3399.99,No Discount
351,20200404,11097,3374.99,3374.99,No Discount
314,20200404,18188,3578.27,3578.27,No Discount
311,20200404,18189,3578.27,3578.27,No Discount
314,20200404,17354,3578.27,3578.27,No Discount
348,20200405,25905,3374.99,3374.99,No Discount
320,20200405,14610,699.0982,699.0982,No Discount
314,20200405,17920,3578.27,3578.27,No Discount
310,20200406,14427,3578.27,3578.27,No Discount
313,20200406,28200,3578.27,3578.27,No Discount
336,20200406,14602,699.0982,699.0982,No Discount
312,20200406,17911,3578.27,3578.27,No Discount
313,20200407,14159,3578.27,3578.27,No Discount
311,20200407,28243,3578.27,3578.27,No Discount
312,20200407,28244,3578.27,3578.27,No Discount
314,20200407,28271,3578.27,3578.27,No Discount
311,20200407,28297,3578.27,3578.27,No Discount
326,20200407,14591,699.0982,699.0982,No Discount
336,20200407,14603,699.0982,699.0982,No Discount
347,20200407,11093,3399.99,3399.99,No Discount
345,20200407,11099,3399.99,3399.99,No Discount
310,20200407,17511,3578.27,3578.27,No Discount
310,20200407,17732,3578.27,3578.27,No Discount
311,20200408,14525,3578.27,3578.27,No Discount
311,20200408,14158,3578.27,3578.27,No Discount
310,20200408,13686,3578.27,3578.27,No Discount
310,20200408,28259,3578.27,3578.27,No Discount
312,20200408,28285,3578.27,3578.27,No Discount
348,20200408,11092,3374.99,3374.99,No Discount
313,20200408,17912,3578.27,3578.27,No Discount
313,20200408,17502,3578.27,3578.27,No Discount
328,20200408,25562,699.0982,699.0982,No Discount
314,20200409,14150,3578.27,3578.27,No Discount
310,20200409,28250,3578.27,3578.27,No Discount
313,20200409,18193,3578.27,3578.27,No Discount
311,20200409,17514,3578.27,3578.27,No Discount
310,20200409,17736,3578.27,3578.27,No Discount
310,20200410,13767,3578.27,3578.27,No Discount
310,20200410,14157,3578.27,3578.27,No Discount
310,20200410,14183,3578.27,3578.27,No Discount
349,20200410,29399,3374.99,3374.99,No Discount
310,20200410,28234,3578.27,3578.27,No Discount
349,20200410,25903,3374.99,3374.99,No Discount
351,20200410,11080,3374.99,3374.99,No Discount
310,20200410,17915,3578.27,3578.27,No Discount
313,20200411,14191,3578.27,3578.27,No Discount
347,20200411,11341,3399.99,3399.99,No Discount
310,20200411,28268,3578.27,3578.27,No Discount
311,20200411,28296,3578.27,3578.27,No Discount
314,20200411,28298,3578.27,3578.27,No Discount
312,20200411,28587,3578.27,3578.27,No Discount
351,20200411,11096,3374.99,3374.99,No Discount
310,20200411,17924,3578.27,3578.27,No Discount
313,20200411,17925,3578.27,3578.27,No Discount
314,20200411,17353,3578.27,3578.27,No Discount
313,20200411,17730,3578.27,3578.27,No Discount
314,20200411,17910,3578.27,3578.27,No Discount
345,20200412,29398,3399.99,3399.99,No Discount
313,20200412,28246,3578.27,3578.27,No Discount
314,20200412,28339,3578.27,3578.27,No Discount
345,20200412,25901,3399.99,3399.99,No Discount
330,20200412,14596,699.0982,699.0982,No Discount
312,20200412,17733,3578.27,3578.27,No Discount
311,20200413,28240,3578.27,3578.27,No Discount
312,20200413,28588,3578.27,3578.27,No Discount
312,20200413,17515,3578.27,3578.27,No Discount
314,20200414,13666,3578.27,3578.27,No Discount
350,20200414,19844,3374.99,3374.99,No Discount
314,20200415,28221,3578.27,3578.27,No Discount
310,20200415,28224,3578.27,3578.27,No Discount
313,20200415,28299,3578.27,3578.27,No Discount
351,20200415,11077,3374.99,3374.99,No Discount
351,20200415,11103,3374.99,3374.99,No Discount
320,20200415,25563,699.0982,699.0982,No Discount
310,20200416,28223,3578.27,3578.27,No Discount
312,20200416,28584,3578.27,3578.27,No Discount
349,20200416,11100,3374.99,3374.99,No Discount
310,20200417,13606,3578.27,3578.27,No Discount
311,20200417,28340,3578.27,3578.27,No Discount
312,20200417,28355,3578.27,3578.27,No Discount
345,20200417,11069,3399.99,3399.99,No Discount
311,20200417,17917,3578.27,3578.27,No Discount
311,20200417,17919,3578.27,3578.27,No Discount
310,20200417,17352,3578.27,3578.27,No Discount
311,20200417,17512,3578.27,3578.27,No Discount
313,20200418,13607,3578.27,3578.27,No Discount
326,20200418,19353,699.0982,699.0982,No Discount
313,20200418,28586,3578.27,3578.27,No Discount
312,20200418,17916,3578.27,3578.27,No Discount
311,20200418,17504,3578.27,3578.27,No Discount
314,20200419,13770,3578.27,3578.27,No Discount
314,20200419,14146,3578.27,3578.27,No Discount
313,20200419,28362,3578.27,3578.27,No Discount
314,20200419,28583,3578.27,3578.27,No Discount
313,20200419,17927,3578.27,3578.27,No Discount
312,20200419,17725,3578.27,3578.27,No Discount
314,20200420,14165,3578.27,3578.27,No Discount
312,20200420,28270,3578.27,3578.27,No Discount
310,20200420,28580,3578.27,3578.27,No Discount
312,20200421,28573,3578.27,3578.27,No Discount
322,20200421,26630,699.0982,699.0982,No Discount
344,20200421,11076,3399.99,3399.99,No Discount
312,20200421,17909,3578.27,3578.27,No Discount
310,20200422,14195,3578.27,3578.27,No Discount
312,20200422,12261,3578.27,3578.27,No Discount
312,20200422,22118,3578.27,3578.27,No Discount
334,20200422,14599,699.0982,699.0982,No Discount
310,20200422,17370,3578.27,3578.27,No Discount
311,20200424,13697,3578.27,3578.27,No Discount
314,20200425,17478,3578.27,3578.27,No Discount
313,20200425,17914,3578.27,3578.27,No Discount
312,20200426,12265,3578.27,3578.27,No Discount
311,20200426,28264,3578.27,3578.27,No Discount
312,20200426,28293,3578.27,3578.27,No Discount
310,20200426,28294,3578.27,3578.27,No Discount
313,20200426,28295,3578.27,3578.27,No Discount
332,20200426,20164,699.0982,699.0982,No Discount
310,20200426,17923,3578.27,3578.27,No Discount
310,20200426,17926,3578.27,3578.27,No Discount
312,20200426,17513,3578.27,3578.27,No Discount
320,20200426,25560,699.0982,699.0982,No Discount
311,20200427,28196,3578.27,3578.27,No Discount
314,20200427,28247,3578.27,3578.27,No Discount
314,20200427,28288,3578.27,3578.27,No Discount
334,20200427,20150,699.0982,699.0982,No Discount
313,20200427,17918,3578.27,3578.27,No Discount
311,20200428,14155,3578.27,3578.27,No Discount
332,20200428,19340,699.0982,699.0982,No Discount
314,20200428,22120,3578.27,3578.27,No Discount
