datekey,Date,Day,DayNb,daynumberofyear,weeknumberofyear,MonthName,MonthNb,Quarter
20180717,2018-07-17,Tuesday,17,198,29,Jul,7,3
20180718,2018-07-18,Wednesday,18,199,29,Jul,7,3
20180719,2018-07-19,Thursday,19,200,29,Jul,7,3
20180720,2018-07-20,Friday,20,201,29,Jul,7,3
20180721,2018-07-21,Saturday,21,202,29,Jul,7,3
20180722,2018-07-22,Sunday,22,203,30,Jul,7,3
20180723,2018-07-23,Monday,23,204,30,Jul,7,3
20180724,2018-07-24,Tuesday,24,205,30,Jul,7,3
20180725,2018-07-25,Wednesday,25,206,30,Jul,7,3
20180726,2018-07-26,Thursday,26,207,30,Jul,7,3
20180727,2018-07-27,Friday,27,208,30,Jul,7,3
20180728,2018-07-28,Saturday,28,209,30,Jul,7,3
20180729,2018-07-29,Sunday,29,210,31,Jul,7,3
20180730,2018-07-30,Monday,30,211,31,Jul,7,3
20180731,2018-07-31,Tuesday,31,212,31,Jul,7,3
20180801,2018-08-01,Wednesday,1,213,31,Aug,8,3
20180802,2018-08-02,Thursday,2,214,31,Aug,8,3
20180803,2018-08-03,Friday,3,215,31,Aug,8,3
20180804,2018-08-04,Saturday,4,216,31,Aug,8,3
20180805,2018-08-05,Sunday,5,217,32,Aug,8,3
20180806,2018-08-06,Monday,6,218,32,Aug,8,3
20180807,2018-08-07,Tuesday,7,219,32,Aug,8,3
20180808,2018-08-08,Wednesday,8,220,32,Aug,8,3
20180809,2018-08-09,Thursday,9,221,32,Aug,8,3
20180810,2018-08-10,Friday,10,222,32,Aug,8,3
20180811,2018-08-11,Saturday,11,223,32,Aug,8,3
20180812,2018-08-12,Sunday,12,224,33,Aug,8,3
20180813,2018-08-13,Monday,13,225,33,Aug,8,3
20180814,2018-08-14,Tuesday,14,226,33,Aug,8,3
20180815,2018-08-15,Wednesday,15,227,33,Aug,8,3
20180816,2018-08-16,Thursday,16,228,33,Aug,8,3
20180817,2018-08-17,Friday,17,229,33,Aug,8,3
20180818,2018-08-18,Saturday,18,230,33,Aug,8,3
20180819,2018-08-19,Sunday,19,231,34,Aug,8,3
20180820,2018-08-20,Monday,20,232,34,Aug,8,3
20180821,2018-08-21,Tuesday,21,233,34,Aug,8,3
20180822,2018-08-22,Wednesday,22,234,34,Aug,8,3
20180823,2018-08-23,Thursday,23,235,34,Aug,8,3
20180824,2018-08-24,Friday,24,236,34,Aug,8,3
20180825,2018-08-25,Saturday,25,237,34,Aug,8,3
20180826,2018-08-26,Sunday,26,238,35,Aug,8,3
20180827,2018-08-27,Monday,27,239,35,Aug,8,3
20180828,2018-08-28,Tuesday,28,240,35,Aug,8,3
20180829,2018-08-29,Wednesday,29,241,35,Aug,8,3
20180830,2018-08-30,Thursday,30,242,35,Aug,8,3
20180831,2018-08-31,Friday,31,243,35,Aug,8,3
20180901,2018-09-01,Saturday,1,244,35,Sep,9,3
20180902,2018-09-02,Sunday,2,245,36,Sep,9,3
20180903,2018-09-03,Monday,3,246,36,Sep,9,3
20180904,2018-09-04,Tuesday,4,247,36,Sep,9,3
20180905,2018-09-05,Wednesday,5,248,36,Sep,9,3
20180906,2018-09-06,Thursday,6,249,36,Sep,9,3
20180907,2018-09-07,Friday,7,250,36,Sep,9,3
20180908,2018-09-08,Saturday,8,251,36,Sep,9,3
20180909,2018-09-09,Sunday,9,252,37,Sep,9,3
20180910,2018-09-10,Monday,10,253,37,Sep,9,3
20180911,2018-09-11,Tuesday,11,254,37,Sep,9,3
20180912,2018-09-12,Wednesday,12,255,37,Sep,9,3
20180913,2018-09-13,Thursday,13,256,37,Sep,9,3
20180914,2018-09-14,Friday,14,257,37,Sep,9,3
20180915,2018-09-15,Saturday,15,258,37,Sep,9,3
20180916,2018-09-16,Sunday,16,259,38,Sep,9,3
20180917,2018-09-17,Monday,17,260,38,Sep,9,3
20180918,2018-09-18,Tuesday,18,261,38,Sep,9,3
20180919,2018-09-19,Wednesday,19,262,38,Sep,9,3
20180920,2018-09-20,Thursday,20,263,38,Sep,9,3
20180921,2018-09-21,Friday,21,264,38,Sep,9,3
20180922,2018-09-22,Saturday,22,265,38,Sep,9,3
20180923,2018-09-23,Sunday,23,266,39,Sep,9,3
20180924,2018-09-24,Monday,24,267,39,Sep,9,3
20180925,2018-09-25,Tuesday,25,268,39,Sep,9,3
20180926,2018-09-26,Wednesday,26,269,39,Sep,9,3
20180927,2018-09-27,Thursday,27,270,39,Sep,9,3
20180928,2018-09-28,Friday,28,271,39,Sep,9,3
20180929,2018-09-29,Saturday,29,272,39,Sep,9,3
20180930,2018-09-30,Sunday,30,273,40,Sep,9,3
20181001,2018-10-01,Monday,1,274,40,Oct,10,4
20181002,2018-10-02,Tuesday,2,275,40,Oct,10,4
20181003,2018-10-03,Wednesday,3,276,40,Oct,10,4
20181004,2018-10-04,Thursday,4,277,40,Oct,10,4
20181005,2018-10-05,Friday,5,278,40,Oct,10,4
20181006,2018-10-06,Saturday,6,279,40,Oct,10,4
20181007,2018-10-07,Sunday,7,280,41,Oct,10,4
20181008,2018-10-08,Monday,8,281,41,Oct,10,4
20181009,2018-10-09,Tuesday,9,282,41,Oct,10,4
20181010,2018-10-10,Wednesday,10,283,41,Oct,10,4
20181011,2018-10-11,Thursday,11,284,41,Oct,10,4
20181012,2018-10-12,Friday,12,285,41,Oct,10,4
20181013,2018-10-13,Saturday,13,286,41,Oct,10,4
20181014,2018-10-14,Sunday,14,287,42,Oct,10,4
20181015,2018-10-15,Monday,15,288,42,Oct,10,4
20181016,2018-10-16,Tuesday,16,289,42,Oct,10,4
20181017,2018-10-17,Wednesday,17,290,42,Oct,10,4
20181018,2018-10-18,Thursday,18,291,42,Oct,10,4
20181019,2018-10-19,Friday,19,292,42,Oct,10,4
20181020,2018-10-20,Saturday,20,293,42,Oct,10,4
20181021,2018-10-21,Sunday,21,294,43,Oct,10,4
20181022,2018-10-22,Monday,22,295,43,Oct,10,4
20181023,2018-10-23,Tuesday,23,296,43,Oct,10,4
20181024,2018-10-24,Wednesday,24,297,43,Oct,10,4
20181025,2018-10-25,Thursday,25,298,43,Oct,10,4
20181026,2018-10-26,Friday,26,299,43,Oct,10,4
20181027,2018-10-27,Saturday,27,300,43,Oct,10,4
20181028,2018-10-28,Sunday,28,301,44,Oct,10,4
20181029,2018-10-29,Monday,29,302,44,Oct,10,4
20181030,2018-10-30,Tuesday,30,303,44,Oct,10,4
20181031,2018-10-31,Wednesday,31,304,44,Oct,10,4
20181101,2018-11-01,Thursday,1,305,44,Nov,11,4
20181102,2018-11-02,Friday,2,306,44,Nov,11,4
20181103,2018-11-03,Saturday,3,307,44,Nov,11,4
20181104,2018-11-04,Sunday,4,308,45,Nov,11,4
20181105,2018-11-05,Monday,5,309,45,Nov,11,4
20181106,2018-11-06,Tuesday,6,310,45,Nov,11,4
20181107,2018-11-07,Wednesday,7,311,45,Nov,11,4
20181108,2018-11-08,Thursday,8,312,45,Nov,11,4
20181109,2018-11-09,Friday,9,313,45,Nov,11,4
20181110,2018-11-10,Saturday,10,314,45,Nov,11,4
20181111,2018-11-11,Sunday,11,315,46,Nov,11,4
20181112,2018-11-12,Monday,12,316,46,Nov,11,4
20181113,2018-11-13,Tuesday,13,317,46,Nov,11,4
20181114,2018-11-14,Wednesday,14,318,46,Nov,11,4
20181115,2018-11-15,Thursday,15,319,46,Nov,11,4
20181116,2018-11-16,Friday,16,320,46,Nov,11,4
20181117,2018-11-17,Saturday,17,321,46,Nov,11,4
20181118,2018-11-18,Sunday,18,322,47,Nov,11,4
20181119,2018-11-19,Monday,19,323,47,Nov,11,4
20181120,2018-11-20,Tuesday,20,324,47,Nov,11,4
20181121,2018-11-21,Wednesday,21,325,47,Nov,11,4
20181122,2018-11-22,Thursday,22,326,47,Nov,11,4
20181123,2018-11-23,Friday,23,327,47,Nov,11,4
20181124,2018-11-24,Saturday,24,328,47,Nov,11,4
20181125,2018-11-25,Sunday,25,329,48,Nov,11,4
20181126,2018-11-26,Monday,26,330,48,Nov,11,4
20181127,2018-11-27,Tuesday,27,331,48,Nov,11,4
20181128,2018-11-28,Wednesday,28,332,48,Nov,11,4
20181129,2018-11-29,Thursday,29,333,48,Nov,11,4
20181130,2018-11-30,Friday,30,334,48,Nov,11,4
20181201,2018-12-01,Saturday,1,335,48,Dec,12,4
20181202,2018-12-02,Sunday,2,336,49,Dec,12,4
20181203,2018-12-03,Monday,3,337,49,Dec,12,4
20181204,2018-12-04,Tuesday,4,338,49,Dec,12,4
20181205,2018-12-05,Wednesday,5,339,49,Dec,12,4
20181206,2018-12-06,Thursday,6,340,49,Dec,12,4
20181207,2018-12-07,Friday,7,341,49,Dec,12,4
20181208,2018-12-08,Saturday,8,342,49,Dec,12,4
20181209,2018-12-09,Sunday,9,343,50,Dec,12,4
20181210,2018-12-10,Monday,10,344,50,Dec,12,4
20181211,2018-12-11,Tuesday,11,345,50,Dec,12,4
20181212,2018-12-12,Wednesday,12,346,50,Dec,12,4
20181213,2018-12-13,Thursday,13,347,50,Dec,12,4
20181214,2018-12-14,Friday,14,348,50,Dec,12,4
20181215,2018-12-15,Saturday,15,349,50,Dec,12,4
20181216,2018-12-16,Sunday,16,350,51,Dec,12,4
20181217,2018-12-17,Monday,17,351,51,Dec,12,4
20181218,2018-12-18,Tuesday,18,352,51,Dec,12,4
20181219,2018-12-19,Wednesday,19,353,51,Dec,12,4
20181220,2018-12-20,Thursday,20,354,51,Dec,12,4
20181221,2018-12-21,Friday,21,355,51,Dec,12,4
20181222,2018-12-22,Saturday,22,356,51,Dec,12,4
20181223,2018-12-23,Sunday,23,357,52,Dec,12,4
20181224,2018-12-24,Monday,24,358,52,Dec,12,4
20181225,2018-12-25,Tuesday,25,359,52,Dec,12,4
20181226,2018-12-26,Wednesday,26,360,52,Dec,12,4
20181227,2018-12-27,Thursday,27,361,52,Dec,12,4
20181228,2018-12-28,Friday,28,362,52,Dec,12,4
20181229,2018-12-29,Saturday,29,363,52,Dec,12,4
20181230,2018-12-30,Sunday,30,364,53,Dec,12,4
20181231,2018-12-31,Monday,31,365,53,Dec,12,4
20190101,2019-01-01,Tuesday,1,1,1,Jan,1,1
20190102,2019-01-02,Wednesday,2,2,1,Jan,1,1
20190103,2019-01-03,Thursday,3,3,1,Jan,1,1
20190104,2019-01-04,Friday,4,4,1,Jan,1,1
20190105,2019-01-05,Saturday,5,5,1,Jan,1,1
20190106,2019-01-06,Sunday,6,6,2,Jan,1,1
20190107,2019-01-07,Monday,7,7,2,Jan,1,1
20190108,2019-01-08,Tuesday,8,8,2,Jan,1,1
20190109,2019-01-09,Wednesday,9,9,2,Jan,1,1
20190110,2019-01-10,Thursday,10,10,2,Jan,1,1
20190111,2019-01-11,Friday,11,11,2,Jan,1,1
20190112,2019-01-12,Saturday,12,12,2,Jan,1,1
20190113,2019-01-13,Sunday,13,13,3,Jan,1,1
20190114,2019-01-14,Monday,14,14,3,Jan,1,1
20190115,2019-01-15,Tuesday,15,15,3,Jan,1,1
20190116,2019-01-16,Wednesday,16,16,3,Jan,1,1
20190117,2019-01-17,Thursday,17,17,3,Jan,1,1
20190118,2019-01-18,Friday,18,18,3,Jan,1,1
20190119,2019-01-19,Saturday,19,19,3,Jan,1,1
20190120,2019-01-20,Sunday,20,20,4,Jan,1,1
20190121,2019-01-21,Monday,21,21,4,Jan,1,1
20190122,2019-01-22,Tuesday,22,22,4,Jan,1,1
20190123,2019-01-23,Wednesday,23,23,4,Jan,1,1
20190124,2019-01-24,Thursday,24,24,4,Jan,1,1
20190125,2019-01-25,Friday,25,25,4,Jan,1,1
20190126,2019-01-26,Saturday,26,26,4,Jan,1,1
20190127,2019-01-27,Sunday,27,27,5,Jan,1,1
20190128,2019-01-28,Monday,28,28,5,Jan,1,1
20190129,2019-01-29,Tuesday,29,29,5,Jan,1,1
20190130,2019-01-30,Wednesday,30,30,5,Jan,1,1
20190131,2019-01-31,Thursday,31,31,5,Jan,1,1
20190201,2019-02-01,Friday,1,32,5,Feb,2,1
20190202,2019-02-02,Saturday,2,33,5,Feb,2,1
20190203,2019-02-03,Sunday,3,34,6,Feb,2,1
20190204,2019-02-04,Monday,4,35,6,Feb,2,1
20190205,2019-02-05,Tuesday,5,36,6,Feb,2,1
20190206,2019-02-06,Wednesday,6,37,6,Feb,2,1
20190207,2019-02-07,Thursday,7,38,6,Feb,2,1
20190208,2019-02-08,Friday,8,39,6,Feb,2,1
20190209,2019-02-09,Saturday,9,40,6,Feb,2,1
20190210,2019-02-10,Sunday,10,41,7,Feb,2,1
20190211,2019-02-11,Monday,11,42,7,Feb,2,1
20190212,2019-02-12,Tuesday,12,43,7,Feb,2,1
20190213,2019-02-13,Wednesday,13,44,7,Feb,2,1
20190214,2019-02-14,Thursday,14,45,7,Feb,2,1
20190215,2019-02-15,Friday,15,46,7,Feb,2,1
20190216,2019-02-16,Saturday,16,47,7,Feb,2,1
20190217,2019-02-17,Sunday,17,48,8,Feb,2,1
20190218,2019-02-18,Monday,18,49,8,Feb,2,1
20190219,2019-02-19,Tuesday,19,50,8,Feb,2,1
20190220,2019-02-20,Wednesday,20,51,8,Feb,2,1
20190221,2019-02-21,Thursday,21,52,8,Feb,2,1
20190222,2019-02-22,Friday,22,53,8,Feb,2,1
20190223,2019-02-23,Saturday,23,54,8,Feb,2,1
20190224,2019-02-24,Sunday,24,55,9,Feb,2,1
20190225,2019-02-25,Monday,25,56,9,Feb,2,1
20190226,2019-02-26,Tuesday,26,57,9,Feb,2,1
20190227,2019-02-27,Wednesday,27,58,9,Feb,2,1
20190228,2019-02-28,Thursday,28,59,9,Feb,2,1
20190301,2019-03-01,Friday,1,60,9,Mar,3,1
20190302,2019-03-02,Saturday,2,61,9,Mar,3,1
20190303,2019-03-03,Sunday,3,62,10,Mar,3,1
20190304,2019-03-04,Monday,4,63,10,Mar,3,1
20190305,2019-03-05,Tuesday,5,64,10,Mar,3,1
20190306,2019-03-06,Wednesday,6,65,10,Mar,3,1
20190307,2019-03-07,Thursday,7,66,10,Mar,3,1
20190308,2019-03-08,Friday,8,67,10,Mar,3,1
20190309,2019-03-09,Saturday,9,68,10,Mar,3,1
20190310,2019-03-10,Sunday,10,69,11,Mar,3,1
20190311,2019-03-11,Monday,11,70,11,Mar,3,1
20190312,2019-03-12,Tuesday,12,71,11,Mar,3,1
20190313,2019-03-13,Wednesday,13,72,11,Mar,3,1
20190314,2019-03-14,Thursday,14,73,11,Mar,3,1
20190315,2019-03-15,Friday,15,74,11,Mar,3,1
20190316,2019-03-16,Saturday,16,75,11,Mar,3,1
20190317,2019-03-17,Sunday,17,76,12,Mar,3,1
20190318,2019-03-18,Monday,18,77,12,Mar,3,1
20190319,2019-03-19,Tuesday,19,78,12,Mar,3,1
20190320,2019-03-20,Wednesday,20,79,12,Mar,3,1
20190321,2019-03-21,Thursday,21,80,12,Mar,3,1
20190322,2019-03-22,Friday,22,81,12,Mar,3,1
20190323,2019-03-23,Saturday,23,82,12,Mar,3,1
20190324,2019-03-24,Sunday,24,83,13,Mar,3,1
20190325,2019-03-25,Monday,25,84,13,Mar,3,1
20190326,2019-03-26,Tuesday,26,85,13,Mar,3,1
20190327,2019-03-27,Wednesday,27,86,13,Mar,3,1
20190328,2019-03-28,Thursday,28,87,13,Mar,3,1
20190329,2019-03-29,Friday,29,88,13,Mar,3,1
20190330,2019-03-30,Saturday,30,89,13,Mar,3,1
20190331,2019-03-31,Sunday,31,90,14,Mar,3,1
20190401,2019-04-01,Monday,1,91,14,Apr,4,2
20190402,2019-04-02,Tuesday,2,92,14,Apr,4,2
20190403,2019-04-03,Wednesday,3,93,14,Apr,4,2
20190404,2019-04-04,Thursday,4,94,14,Apr,4,2
20190405,2019-04-05,Friday,5,95,14,Apr,4,2
20190406,2019-04-06,Saturday,6,96,14,Apr,4,2
20190407,2019-04-07,Sunday,7,97,15,Apr,4,2
20190408,2019-04-08,Monday,8,98,15,Apr,4,2
20190409,2019-04-09,Tuesday,9,99,15,Apr,4,2
20190410,2019-04-10,Wednesday,10,100,15,Apr,4,2
